label_id,label_freq
000430927,5
00043163X,1
000431672,1
000431826,4
000431869,3
00043194X,11
000431958,10
000432024,1
000432067,1
000432172,20
000432180,1
000432253,1
000432407,1
000432512,1
000432539,1
000432547,1
000432652,1
000433233,6
00043325X,11
000433624,1
000434086,16
000434159,1
000435260,1
00043535X,1
000435805,1
00043583X,24
000435848,1
000436739,1
000437026,1
000437328,1
000437425,1
000437727,3
000438006,1
000438596,4
000438618,1
000439703,5
000439983,1
000440957,1
000441813,2
000442623,1
000444197,6
000444936,1
000445266,1
000445703,1
000446432,12
000446866,1
000447293,1
00044748X,2
000448257,1
000448567,1
000449504,1
000449601,1
000450456,1
000451118,2
000453870,2
000455008,1
000455237,2
000456802,1
000457477,1
000458937,1
00046015X,1
000461474,2
000461571,1
000461717,1
000501050,1
000501263,1
000502472,1
000502758,7
000503401,1
000503819,1
000505331,1
000506257,1
000507938,1
000513350,1
000541486,1
000543330,1
000544086,1
000545996,1
00055006X,1
00055023X,1
000550574,1
000551317,1
000551619,1
000552313,1
00055281X,2
00055426X,8
000554537,1
000554871,1
000555274,2
000555487,1
000556726,1
000557498,1
00055751X,1
000557900,4
000558109,1
000559512,1
000560022,2
000560235,6
000561428,1
000563714,1
000563846,2
00062022X,1
000620246,1
000620335,6
000620998,1
000621129,1
000621285,1
000621420,1
000622222,4
000623245,1
000624659,9
000625183,1
000625329,1
000625949,1
000625965,2
000626279,1
000626503,1
00062666X,1
000626791,2
000627054,1
000627267,3
000627690,1
000627992,1
000628271,1
000628581,1
000628689,1
000628999,3
000629596,1
000629758,1
000629820,1
00063008X,10
000630462,8
000631140,1
00063154X,2
000631612,3
000631620,3
000632139,1
000632155,25
000632910,2
000633275,5
000633291,2
000633380,1
000633402,1
000633429,41
000633593,1
000633747,1
000634859,1
000635901,1
000636401,23
000637386,1
000637947,7
000637955,4
000638617,1
000639516,8
000639710,1
000639761,1
000639958,1
000640549,1
000640557,1
000641758,2
000641820,1
000642827,1
000642908,2
000643173,2
000643424,8
000643440,2
000643521,1
000643874,1
00064403X,1
000644099,32
000644625,1
000644889,1
000644994,5
000645060,2
000645303,1
000645419,1
000645443,4
000645494,2
000646156,21
000646342,3
000646385,1
000646814,26
000646938,1
000646946,3
000646954,1
000647667,1
000648507,30
000648574,21
00064868X,17
000649066,3
000649082,1
000649449,25
000649694,2
000650080,1
000650099,1
000651915,5
000653721,1
000654337,1
000654922,1
000655066,1
000655562,2
000656003,1
000656135,1
000657565,2
000658758,1
000659282,1
000660566,1
000660833,1
000660973,1
000661716,1
000661724,1
000662631,1
000662879,1
000663085,1
000663352,1
000664766,1
000666475,1
000666610,1
000666882,1
000668400,1
000668591,3
000669334,1
000669881,1
00066989X,1
000670499,1
000670596,2
000671509,1
000671819,2
000672246,2
000672297,1
000673056,1
000676403,1
000676616,2
000677272,1
000677388,98
000678643,1
000679038,5
000679135,1
000679305,1
000679534,1
000679712,1
000680117,1
000680265,1
000680699,2
000681237,1
000681822,1
000682624,1
000682837,1
000682926,1
000685437,1
00068547X,1
000685704,1
000685771,1
00068788X,2
000689270,1
000689939,4
000690147,1
000740268,1
000740284,8
000740446,6
000740470,1
000741132,1
000741256,1
000741787,1
000742066,1
000742244,1
000742309,1
000742864,1
000743283,4
000743941,1
000744131,3
000744859,1
000745057,54
000745081,1
000745316,1
000745367,5
000745979,1
000746436,1
000746975,4
000748560,1
000749028,1
000749117,1
000749257,1
00075028X,1
000750522,1
000750646,1
000751006,3
000751952,3
000752266,2
000753513,6
000753858,2
000753882,1
000754005,1
00075532X,6
000800376,2
000800619,1
00080066X,1
000800880,3
000800929,209
000801976,1
000803383,1
000804657,2
000807303,1
000808024,1
000808202,14
000808326,1
000808512,1
00080861X,7
000809136,6
000811025,1
000811246,1
000811505,1
000811947,1
000814199,1
000815004,2
000815101,1
000815411,2
